# 120703A.HPD
# 19.5 bar 922.4kHz
# 90*=7.8V/2ms U=1.5VPP

# t/tca   freq
0.6891   600.355895996093800
0.6894   600.399428147536000
0.6897   593.546114408052900
0.6900   593.992009943181900
0.6903   596.704809570312500
0.6906   599.362713623046800
0.6909   582.091713645241500
0.6912   605.983276367187500
0.6915   589.074752807617200
0.6918   582.457829066685200
0.6921   586.805603027343800
0.6927   584.320007324218800
0.6934   578.880086263020900
0.6941   569.546616774339000
0.6944   578.742009089543200
0.6948   574.814367675781200
0.6952   576.910528564453100
0.6956   571.002609252929700
0.6960   572.411299272017000
0.6965   575.058405095880600
0.6969   594.865554809570300
0.6974   564.183505588107700
0.6979   566.146952311197900
0.6984   566.346002752130600
0.6989   572.192016601562500
0.6995   572.072460937500000
0.7001   551.990627712673600
0.7007   574.550542658025600
0.7013   558.208440607244400
0.7020   550.587596893310600
0.7026   551.982608795166000
0.7033   562.653808593750000
0.7041   566.363745117187500
0.7049   547.459211869673300
0.7057   553.924048790564900
0.7074   553.436067853655100
0.7083   540.725612095424100
0.7092   542.284565318714500
0.7103   544.385259454900600
0.7113   551.457237243652300
0.7135   548.798805930397800
0.7184   531.958683013916000
