 # AA:        130179.42206106134     
 # FLEGG:     138143.75526859515     
 # AF0:     -6.22068574088730716E-002
 # CPAR:      600.01081710162225     
 # Diff:     8.55074003082074152E-002
 # TF:       3.79473319220205556E-007
 # H:         284.00000000000000     
 # GRAD:     0.10000000000000001     
 # HR:       3.00000000000000006E-003
 # LP:       0.19004008016027371     
 # TIME  LP  TMAB  TMDS  TMPC  TMZ
 7859.3  1.00000000  0.96793493  0.00250402  0.96793817 -0.25139902
 7859.4  1.00000000  0.96793707  0.00164483  0.96793846 -0.25139783
 7859.5  1.00000000  0.96794111 -0.00026052  0.96794115 -0.25138692
 7859.6  1.00000000  0.96794405 -0.00195372  0.96794602 -0.25136569
 7859.7  1.00000000  0.96794716 -0.00331093  0.96795282 -0.25133580
 7859.8  1.00000000  0.96795179 -0.00423423  0.96796105 -0.25129963
 7859.9  1.00000000  0.96795901 -0.00465929  0.96797023 -0.25125989
 7860.0  1.00000000  0.96796885 -0.00455871  0.96797958 -0.25121969
 7860.1  1.00000000  0.96798006 -0.00394847  0.96798812 -0.25118233
 7860.2  1.00000000  0.96799105 -0.00288440  0.96799535 -0.25115049
 7860.3  1.00000000  0.96799974 -0.00145399  0.96800083 -0.25112645
 7860.4  1.00000000  0.96800414  0.00022855  0.96800417 -0.25111192
 7860.5  1.00000000  0.96800311  0.00203266  0.96800524 -0.25110781
 7860.6  1.00000000  0.96799623  0.00381963  0.96800376 -0.25111449
 7860.7  1.00000000  0.96798454  0.00545170  0.96799989 -0.25113129
 7860.8  1.00000000  0.96797009  0.00680579  0.96799402 -0.25115675
 7860.9  1.00000000  0.96795532  0.00778154  0.96798660 -0.25118881
 7861.0  1.00000000  0.96794269  0.00831014  0.96797836 -0.25122481
 7861.1  1.00000000  0.96793371  0.00835856  0.96796980 -0.25126203
 7861.2  1.00000000  0.96792901  0.00792889  0.96796149 -0.25129768
 7861.3  1.00000000  0.96792845  0.00705998  0.96795420 -0.25132893
 7861.4  1.00000000  0.96793100  0.00582523  0.96794853 -0.25135340
 7861.5  1.00000000  0.96793527  0.00432576  0.96794494 -0.25136930
 7861.6  1.00000000  0.96793980  0.00268120  0.96794352 -0.25137566
 7861.7  1.00000000  0.96794374  0.00101812  0.96794428 -0.25137219
 7861.8  1.00000000  0.96794718 -0.00053646  0.96794733 -0.25135915
 7861.9  1.00000000  0.96795057 -0.00186420  0.96795237 -0.25133772
 7862.0  1.00000000  0.96795468 -0.00286657  0.96795892 -0.25130971
 7862.1  1.00000000  0.96796015 -0.00347234  0.96796638 -0.25127742
 7862.2  1.00000000  0.96796732 -0.00364241  0.96797418 -0.25124336
 7862.3  1.00000000  0.96797598 -0.00337021  0.96798185 -0.25121005
 7862.4  1.00000000  0.96798505 -0.00268218  0.96798876 -0.25118004
 7862.5  1.00000000  0.96799297 -0.00163686  0.96799436 -0.25115562
 7862.6  1.00000000  0.96799815 -0.00031975  0.96799820 -0.25113859
 7862.7  1.00000000  0.96799934  0.00116389  0.96800004 -0.25113013
