 # AA:        269508.89353740122     
 # FLEGG:     198768.07811699499     
 # AF0:     -5.33308614247767210E-002
 # CPAR:      555.55779854881382     
 # Diff:     0.12463198212018202     
 # TF:       2.19089023002066404E-007
 # H:         284.00000000000000     
 # GRAD:     0.10000000000000001     
 # HR:       3.00000000000000006E-003
 # LP:       0.91003999999955776     
 # TIME  LP  TMAB  TMDS  TMPC  TMZ
27414.2  5.00000000  0.95954627  0.11974431  0.96698901 -0.25610006
27414.3  5.00000000  0.95971323  0.11842930  0.96699275 -0.25608234
27414.4  5.00000000  0.95981872  0.11760574  0.96699694 -0.25606278
27414.5  5.00000000  0.95986240  0.11728181  0.96700096 -0.25604434
27414.6  5.00000000  0.95985161  0.11739794  0.96700434 -0.25602922
27414.7  5.00000000  0.95979884  0.11784851  0.96700677 -0.25601875
27414.8  5.00000000  0.95971935  0.11850517  0.96700812 -0.25601336
27414.9  5.00000000  0.95962882  0.11923848  0.96700842 -0.25601273
27415.0  5.00000000  0.95954138  0.11993522  0.96700781 -0.25601597
27415.1  5.00000000  0.95946806  0.12051021  0.96700655 -0.25602187
27415.2  5.00000000  0.95941588  0.12091190  0.96700493 -0.25602908
27415.3  5.00000000  0.95938761  0.12112238  0.96700322 -0.25603639
27415.4  5.00000000  0.95938222  0.12115286  0.96700168 -0.25604280
27415.5  5.00000000  0.95939574  0.12103623  0.96700049 -0.25604763
27415.6  5.00000000  0.95942247  0.12081826  0.96699975 -0.25605058
27415.7  5.00000000  0.95945608  0.12054879  0.96699947 -0.25605162
27415.8  5.00000000  0.95949066  0.12027425  0.96699960 -0.25605103
27415.9  5.00000000  0.95952141  0.12003221  0.96700003 -0.25604921
27416.0  5.00000000  0.95954504  0.11984816  0.96700065 -0.25604666
27416.1  5.00000000  0.95955990  0.11973463  0.96700134 -0.25604387
27416.2  5.00000000  0.95956584  0.11969219  0.96700198 -0.25604125
27416.3  5.00000000  0.95956391  0.11971182  0.96700249 -0.25603912
27416.4  5.00000000  0.95955598  0.11977814  0.96700283 -0.25603767
27416.5  5.00000000  0.95954432  0.11987272  0.96700299 -0.25603694
27416.6  5.00000000  0.95953125  0.11997720  0.96700297 -0.25603689
27416.7  5.00000000  0.95951879  0.12007566  0.96700283 -0.25603739
27416.8  5.00000000  0.95950849  0.12015625  0.96700262 -0.25603824
27416.9  5.00000000  0.95950127  0.12021191  0.96700238 -0.25603926
27417.0  5.00000000  0.95949747  0.12024039  0.96700214 -0.25604029
27417.1  5.00000000  0.95949686  0.12024357  0.96700193 -0.25604120
27417.2  5.00000000  0.95949888  0.12022628  0.96700179 -0.25604187
27417.3  5.00000000  0.95950272  0.12019498  0.96700171 -0.25604227
27417.4  5.00000000  0.95950750  0.12015666  0.96700169 -0.25604241
27417.5  5.00000000  0.95951239  0.12011783  0.96700171 -0.25604232
27417.6  5.00000000  0.95951672  0.12008369  0.96700178 -0.25604206
27417.7  5.00000000  0.95952003  0.12005789  0.96700186 -0.25604169
27417.8  5.00000000  0.95952210  0.12004211  0.96700194 -0.25604129
27417.9  5.00000000  0.95952290  0.12003635  0.96700202 -0.25604093
27418.0  5.00000000  0.95952259  0.12003929  0.96700209 -0.25604063
27418.1  5.00000000  0.95952144  0.12004882  0.96700213 -0.25604042
27418.2  5.00000000  0.95951976  0.12006244  0.96700215 -0.25604032
27418.3  5.00000000  0.95951789  0.12007743  0.96700216 -0.25604032
27418.4  5.00000000  0.95951611  0.12009151  0.96700214 -0.25604039
27418.5  5.00000000  0.95951465  0.12010296  0.96700212 -0.25604051
27418.6  5.00000000  0.95951364  0.12011078  0.96700208 -0.25604066
27418.7  5.00000000  0.95951312  0.12011467  0.96700205 -0.25604081
27418.8  5.00000000  0.95951306  0.12011495  0.96700202 -0.25604094
27418.9  5.00000000  0.95951336  0.12011232  0.96700200 -0.25604103
27419.0  5.00000000  0.95951392  0.12010774  0.96700198 -0.25604109
27419.1  5.00000000  0.95951461  0.12010222  0.96700198 -0.25604110
27419.2  5.00000000  0.95951530  0.12009669  0.96700198 -0.25604109
27419.3  5.00000000  0.95951591  0.12009190  0.96700199 -0.25604105
27419.4  5.00000000  0.95951637  0.12008833  0.96700200 -0.25604100
27419.5  5.00000000  0.95951665  0.12008621  0.96700202 -0.25604094
27419.6  5.00000000  0.95951675  0.12008552  0.96700203 -0.25604089
27419.7  5.00000000  0.95951669  0.12008605  0.96700204 -0.25604085
27419.8  5.00000000  0.95951652  0.12008748  0.96700205 -0.25604082
27419.9  5.00000000  0.95951628  0.12008944  0.96700205 -0.25604081
27420.0  5.00000000  0.95951602  0.12009154  0.96700205 -0.25604081
27420.1  5.00000000  0.95951577  0.12009347  0.96700205 -0.25604082
27420.2  5.00000000  0.95951557  0.12009501  0.96700204 -0.25604084
27420.3  5.00000000  0.95951544  0.12009604  0.96700204 -0.25604086
27420.4  5.00000000  0.95951537  0.12009654  0.96700203 -0.25604088
27420.5  5.00000000  0.95951537  0.12009655  0.96700203 -0.25604089
27420.6  5.00000000  0.95951541  0.12009617  0.96700203 -0.25604091
27420.7  5.00000000  0.95951549  0.12009553  0.96700202 -0.25604091
27420.8  5.00000000  0.95951559  0.12009476  0.96700202 -0.25604092
