# X=  0.090 I =  513
  210.0 -1.433121   8.537193E-02   1.109809E-04   9.963495E-01   4.265847E-02   3.318037E-02   9.985386E-01   1.823476E+00
  215.0 -1.427560   8.713030E-02  -2.073744E-04   9.961973E-01   4.366218E-02   3.370599E-02   9.984776E-01   1.823476E+00
  220.0 -1.422000   8.598689E-02  -3.687255E-05   9.962967E-01   4.302366E-02   3.334591E-02   9.985174E-01   1.823476E+00
  225.0 -1.416439   8.752573E-02  -7.027169E-05   9.961626E-01   4.380692E-02   3.392860E-02   9.984637E-01   1.823476E+00
  230.0 -1.410879   8.659661E-02  -1.647362E-04   9.962438E-01   4.337847E-02   3.351943E-02   9.984962E-01   1.823476E+00
  235.0 -1.405318   8.792543E-02   3.780861E-05   9.961274E-01   4.396506E-02   3.413836E-02   9.984496E-01   1.823476E+00
  240.0 -1.399757   8.722409E-02  -2.630323E-04   9.961891E-01   4.373072E-02   3.371467E-02   9.984743E-01   1.823476E+00
  245.0 -1.394197   8.831593E-02   1.188254E-04   9.960929E-01   4.412909E-02   3.433101E-02   9.984358E-01   1.823476E+00
  250.0 -1.388636   8.787027E-02  -3.356339E-04   9.961323E-01   4.408236E-02   3.393007E-02   9.984515E-01   1.823476E+00
  255.0 -1.383076   8.870557E-02   1.719262E-04   9.960582E-01   4.430354E-02   3.450937E-02   9.984219E-01   1.823476E+00
  260.0 -1.377515   8.852374E-02  -3.760286E-04   9.960744E-01   4.442516E-02   3.416444E-02   9.984283E-01   1.823476E+00
  265.0 -1.371954   8.910466E-02   1.879090E-04   9.960226E-01   4.449711E-02   3.467285E-02   9.984076E-01   1.823476E+00
  270.0 -1.366394   8.917654E-02  -3.759535E-04   9.960161E-01   4.475192E-02   3.441881E-02   9.984050E-01   1.823476E+00
  275.0 -1.360833   8.952170E-02   1.627621E-04   9.959852E-01   4.471564E-02   3.482276E-02   9.983926E-01   1.823476E+00
  280.0 -1.355272   8.981868E-02  -3.370114E-04   9.959585E-01   4.505826E-02   3.468849E-02   9.983819E-01   1.823476E+00
  285.0 -1.349712   8.996859E-02   1.022535E-04   9.959450E-01   4.496283E-02   3.496663E-02   9.983765E-01   1.823476E+00
  290.0 -1.344151   9.043723E-02  -2.679644E-04   9.959025E-01   4.534112E-02   3.496406E-02   9.983595E-01   1.823476E+00
  295.0 -1.338591   9.045827E-02   1.813579E-05   9.959006E-01   4.524062E-02   3.511537E-02   9.983587E-01   1.823476E+00
  300.0 -1.333030   9.102161E-02  -1.833651E-04   9.958493E-01   4.560084E-02   3.523412E-02   9.983382E-01   1.823476E+00
  305.0 -1.327469   9.099798E-02  -7.280162E-05   9.958515E-01   4.554610E-02   3.528021E-02   9.983390E-01   1.823476E+00
  310.0 -1.321909   9.156934E-02  -1.017442E-04   9.957991E-01   4.584338E-02   3.548841E-02   9.983180E-01   1.823476E+00
  315.0 -1.316348   9.158541E-02  -1.509771E-04   9.957976E-01   4.587053E-02   3.547005E-02   9.983174E-01   1.823476E+00
  320.0 -1.310788   9.208820E-02  -4.251270E-05   9.957512E-01   4.608015E-02   3.572028E-02   9.982989E-01   1.823476E+00
  325.0 -1.305227   9.220800E-02  -1.987858E-04   9.957401E-01   4.620078E-02   3.568880E-02   9.982944E-01   1.823476E+00
  330.0 -1.299666   9.259552E-02  -1.974999E-05   9.957042E-01   4.632529E-02   3.592941E-02   9.982800E-01   1.823476E+00
  335.0 -1.294106   9.284523E-02  -2.072665E-04   9.956809E-01   4.652309E-02   3.593295E-02   9.982707E-01   1.823476E+00
  340.0 -1.288545   9.311402E-02  -3.610250E-05   9.956558E-01   4.659123E-02   3.612335E-02   9.982606E-01   1.823476E+00
  345.0 -1.282985   9.347461E-02  -1.807683E-04   9.956220E-01   4.682791E-02   3.619156E-02   9.982471E-01   1.823476E+00
  350.0 -1.277424   9.366424E-02  -8.031087E-05   9.956042E-01   4.688386E-02   3.631574E-02   9.982400E-01   1.823476E+00
  355.0 -1.271863   9.408033E-02  -1.365266E-04   9.955650E-01   4.711400E-02   3.644985E-02   9.982242E-01   1.823476E+00
  360.0 -1.266303   9.425594E-02  -1.308932E-04   9.955484E-01   4.719974E-02   3.652114E-02   9.982176E-01   1.823476E+00
